"","Year","PCR","LASSO","SIR","SPLS"
"1",1,-0.409152119174458,-0.409152119174458,-0.409152119174458,-0.409152119174458
"2",2,-0.42747697391667,-0.42747697391667,-0.42747697391667,-0.42747697391667
"3",3,-0.394130478279172,-0.394130478279172,-0.394130478279172,-0.394130478279172
"4",4,-0.364364435707537,-0.364364435707537,-0.364364435707537,-0.364364435707537
"5",5,-0.333461997045721,-0.333461997045721,-0.333461997045721,-0.333461997045721
"6",6,-0.234859482753321,-0.234859482753321,-0.234859482753321,-0.234859482753321
"7",7,-0.147704480917004,-0.147704480917004,-0.147704480917004,-0.147704480917004
"8",8,-0.222667238292542,-0.222667238292542,-0.222667238292542,-0.222667238292542
"9",9,-0.315413525147874,-0.315413525147874,-0.315413525147874,-0.315413525147874
"10",10,-0.334890075835805,-0.334890075835805,-0.334890075835805,-0.334890075835805
"11",11,-0.319545958722551,-0.319545958722551,-0.319545958722551,-0.319545958722551
"12",12,-0.301683861511552,-0.301683861511552,-0.301683861511552,-0.301683861511552
"13",13,-0.215771179651339,-0.215771179651339,-0.215771179651339,-0.215771179651339
"14",14,-0.285273265599409,-0.285273265599409,-0.285273265599409,-0.285273265599409
"15",15,-0.34832052480839,-0.34832052480839,-0.34832052480839,-0.34832052480839
"16",16,-0.345956862922489,-0.345956862922489,-0.345956862922489,-0.345956862922489
"17",17,-0.233294875698384,-0.233294875698384,-0.233294875698384,-0.233294875698384
"18",18,-0.24893956239509,-0.24893956239509,-0.24893956239509,-0.24893956239509
"19",19,-0.298922598586438,-0.298922598586438,-0.298922598586438,-0.298922598586438
"20",20,-0.367964275889263,-0.367964275889263,-0.367964275889263,-0.367964275889263
"21",21,-0.396154838590225,-0.396154838590225,-0.396154838590225,-0.396154838590225
"22",22,-0.334325432490052,-0.334325432490052,-0.334325432490052,-0.334325432490052
"23",23,-0.340180977225195,-0.340180977225195,-0.340180977225195,-0.340180977225195
"24",24,-0.399022009072972,-0.399022009072972,-0.399022009072972,-0.399022009072972
"25",25,-0.30931008463358,-0.30931008463358,-0.30931008463358,-0.30931008463358
"26",26,-0.280538340459834,-0.280538340459834,-0.280538340459834,-0.280538340459834
