"","year","temp"
"1",1850,-0.332
"2",1851,-0.239
"3",1852,-0.191
"4",1853,-0.284
"5",1854,-0.248
"6",1855,-0.286
"7",1856,-0.381
"8",1857,-0.506
"9",1858,-0.39
"10",1859,-0.327
"11",1860,-0.4
"12",1861,-0.414
"13",1862,-0.381
"14",1863,-0.431
"15",1864,-0.43
"16",1865,-0.228
"17",1866,-0.267
"18",1867,-0.333
"19",1868,-0.178
"20",1869,-0.293
"21",1870,-0.287
"22",1871,-0.345
"23",1872,-0.184
"24",1873,-0.331
"25",1874,-0.444
"26",1875,-0.33
"27",1876,-0.347
"28",1877,0.047
"29",1878,-0.078
"30",1879,-0.224
"31",1880,-0.265
"32",1881,-0.136
"33",1882,-0.311
"34",1883,-0.297
"35",1884,-0.435
"36",1885,-0.382
"37",1886,-0.398
"38",1887,-0.424
"39",1888,-0.199
"40",1889,-0.254
"41",1890,-0.44
"42",1891,-0.31
"43",1892,-0.549
"44",1893,-0.403
"45",1894,-0.45
"46",1895,-0.323
"47",1896,-0.17
"48",1897,-0.263
"49",1898,-0.419
"50",1899,-0.245
"51",1900,-0.202
"52",1901,-0.282
"53",1902,-0.402
"54",1903,-0.575
"55",1904,-0.503
"56",1905,-0.297
"57",1906,-0.347
"58",1907,-0.486
"59",1908,-0.546
"60",1909,-0.493
"61",1910,-0.551
"62",1911,-0.467
"63",1912,-0.482
"64",1913,-0.36
"65",1914,-0.227
"66",1915,-0.194
"67",1916,-0.511
"68",1917,-0.403
"69",1918,-0.253
"70",1919,-0.301
"71",1920,-0.23
"72",1921,-0.222
"73",1922,-0.314
"74",1923,-0.255
"75",1924,-0.308
"76",1925,-0.138
"77",1926,-0.172
"78",1927,-0.196
"79",1928,-0.298
"80",1929,-0.288
"81",1930,-0.098
"82",1931,-0.086
"83",1932,-0.194
"84",1933,-0.258
"85",1934,-0.094
"86",1935,-0.227
"87",1936,-0.094
"88",1937,0.012
"89",1938,-0.045
"90",1939,-0.046
"91",1940,0.024
"92",1941,0.045
"93",1942,-0.054
"94",1943,0.076
"95",1944,0.092
"96",1945,0.047
"97",1946,-0.11
"98",1947,-0.029
"99",1948,-0.036
"100",1949,-0.123
"101",1950,-0.206
"102",1951,0.054
"103",1952,0.042
"104",1953,0.027
"105",1954,-0.131
"106",1955,-0.23
"107",1956,-0.23
"108",1957,0.071
"109",1958,0.025
"110",1959,-0.021
"111",1960,-0.003
"112",1961,0.03
"113",1962,-0.007
"114",1963,0.014
"115",1964,-0.232
"116",1965,-0.118
"117",1966,-0.088
"118",1967,-0.074
"119",1968,-0.108
"120",1969,0.071
"121",1970,-0.095
"122",1971,-0.196
"123",1972,0.051
"124",1973,-0.075
"125",1974,-0.148
"126",1975,-0.21
"127",1976,-0.149
"128",1977,0.036
"129",1978,-0.078
"130",1979,0.105
"131",1980,0.117
"132",1981,0.064
"133",1982,0.105
"134",1983,0.128
"135",1984,-0.043
"136",1985,0.007
"137",1986,0.058
"138",1987,0.227
"139",1988,0.152
"140",1989,0.186
"141",1990,0.27
"142",1991,0.267
"143",1992,0.093
"144",1993,0.107
"145",1994,0.29
"146",1995,0.261
"147",1996,0.202
"148",1997,0.466
"149",1998,0.483
"150",1999,0.299
"151",2000,0.308
"152",2001,0.511
"153",2002,0.45
"154",2003,0.52
"155",2004,0.437
"156",2005,0.537
"157",2006,0.547
"158",2007,0.414
"159",2008,0.425
"160",2009,0.545
"161",2010,0.496
"162",2011,0.414
"163",2012,0.501
"164",2013,0.505
"165",2014,0.62
